"","x"
"815",0.128142829089484
"816",0.128091516984568
"817",0.128040248293473
"818",0.127989022073962
"819",0.127937830382507
"820",0.127886689422667
"821",0.127835580427927
"822",0.127784519590932
"823",0.127733496052315
"824",0.127682512245883
"825",0.127631571060192
"826",0.127580669523013
"827",0.127529810071792
"828",0.127478982316461
"829",0.0125021908534109
"830",-0.102437647397892
"831",-0.102405420248033
"832",0.0125663327053189
"833",0.0125619515001745
"834",0.0125575793408643
"835",0.1274819647806
"836",0.12743130961826
"837",0.127380688394624
"838",0.127330109366085
"839",0.127279569578604
"840",0.127229068988527
"841",0.12717861629244
"842",0.127128189506038
"843",0.127077814999211
"844",0.12702747460753
"845",0.126977170755708
"846",0.126926916584125
"847",0.126876693506347
"848",0.126826512208936
"849",0.126776372198947
"850",0.126726270978907
"851",0.126676208959907
"852",0.126626188553928
"853",0.126576209713676
"854",0.126526272399133
"855",0.126476365434428
"856",0.126426500368325
"857",0.126376673813866
"858",0.126326889072516
"859",0.126277142313484
"860",0.126227439275681
"861",0.126177775036922
"862",-0.123767673745533
"863",-0.123713165268782
"864",-0.123658704807895
"865",-0.123604289876312
"866",-0.123549926183841
"867",-0.123495602596449
"868",-0.123441340763748
"869",-0.12338711560551
"870",0.126563259987961
"871",0.126513679048003
"872",-0.123432150166991
"873",-0.123378019699885
"874",0.126572433657202
"875",0.126522925515019
"876",0.126473463109505
"877",0.126424036698154
"878",0.126374647777993
"879",0.126325294777416
"880",0.12627598536892
"881",0.126226711359777
"882",0.126177475132863
"883",0.126128279511249
"884",0.126079122037481
"885",0.126030007057125
"886",0.125980930590231
"887",0.125931881166252
"888",0.125882877422555
"889",0.125833914044051
"890",0.125784985726568
"891",0.125736092433726
"892",0.125687244206347
"893",0.125638428520688
"894",0.125589651046539
"895",0.125540915216334
"896",0.125492220366141
"897",0.125443557022663
"898",0.125394939384933
"899",0.125346353179339
"900",0.12529780735349
"901",0.125249295737376
"902",0.125200819629754
"903",0.125152388132847
"904",0.125103988784758
"905",0.125055628732298
"906",0.125007301205187
"907",0.124959015292916
"908",0.124910772285148
"909",0.124862555579966
"910",0.12481438364739
"911",0.124766246006402
"912",0.124718145007137
"913",0.124670083887395
"914",0.124622054119754
"915",0.124574074136035
"916",0.124526123048781
"917",0.124478206482308
"918",0.12443032871488
"919",0.124382487776529
"920",0.124334685560825
"921",0.124286917722202
"922",0.124239191796732
"923",0.124191493645412
"924",0.124143841043406
"925",0.12409621896586
"926",0.124048633460916
"927",0.124001091604441
"928",-0.125944829715081
"929",-0.000944442132094991
"930",-0.125890428200364
"931",0.12406208298853
"932",0.124014630584497
"933",0.123967206131056
"934",0.123919824080076
"935",0.123872480251521
"936",0.123825167076575
"937",0.123777895301828
"938",0.123730656918269
"939",0.123683457497464
"940",0.123636298469137
"941",0.123589162411008
"942",0.123542068009556
"943",0.123495019932307
"944",0.123447994288654
"945",0.123401004591869
"946",0.123354060215206
"947",0.123307147452579
"948",0.123260269640014
"949",0.123213422939443
"950",0.123166621840937
"951",0.123119848991337
"952",0.123073116532396
"953",0.123026416500579
"954",0.122979747415229
"955",-0.126966292407815
"956",0.122987080394523
"957",0.122940483175626
"958",0.122893931713406
"959",0.122847405484208
"960",0.122800916593405
"961",0.122754460329816
"962",0.122708045000763
"963",0.122661666897329
"964",0.122615319429315
"965",0.122569006343838
"966",0.122522733598089
"967",0.122476489059409
"968",0.122430281575362
"969",0.122384109225095
"970",0.122337978948053
"971",0.122291873985887
"972",0.122245808257503
"973",0.122199772877138
"974",0.122153772459569
"975",0.122107814378978
"976",0.122061883335846
"977",0.122015989474676
"978",0.121970129994224
"979",0.121924308510643
"980",0.121878518575613
"981",0.121832762919439
"982",0.121787042398864
"983",-0.128159070387483
"984",-0.128105224621322
"985",-0.128051429504922
"986",-0.127997679917826
"987",-0.127943967994725
"988",-0.12789031207285
"989",-0.127836691413904
"990",-0.127783125764836
"991",-0.127729595729761
"992",-0.00272851598856505
"993",0.122225807797804
"994",0.122180170690626
"995",-0.127766377381704
"996",-0.127712963228987
"997",-0.127659593277713
"998",-0.127606268795716
"999",-0.127552994774305
"1000",-0.127499757907572
"1001",-0.127446568229061
"1002",-0.127393423388639
"1003",-0.127340329239814
"1004",0.122614056170278
"1005",0.122568477767345
"1006",0.122522929072147
"1007",0.122477411914588
"1008",0.122431931280516
"1009",-0.127515017655242
"1010",0.122439536949969
"1011",0.122394123418417
"1012",0.122348744447663
"1013",0.122303397822179
"1014",-0.127643598025315
"1015",-0.127590633808722
"1016",-0.127537721347835
"1017",-0.127484853297574
"1018",-0.127432021894492
"1019",-0.127379232962994
"1020",0.101762522477657
"1021",0.101703153337439
"1022",0.101643831994807
"1023",0.101584604259187
"1024",0.101525443074934
"1025",0.101466338872342
"1026",0.101407309735805
"1027",0.101348338144817
"1028",0.101289458794781
"1029",0.101230632057195
"1030",0.101171871257975
"1031",0.101113188178715
"1032",0.101054563663638
"1033",0.100996020604725
"1034",0.100937526489361
"1035",0.100879123023333
"1036",0.100820776206092
"1037",0.10076249065969
"1038",0.100704282058359
"1039",0.100646135282659
"1040",0.100588065230113
"1041",0.100530052106478
"1042",0.100472106867528
"1043",0.100414231679679
"1044",0.10035642492403
"1045",0.100298681809363
"1046",0.100241003759947
"1047",0.100183393833504
"1048",0.100125848011885
"1049",0.10006837011133
"1050",0.100010964697503
"1051",0.0999536230829108
"1052",0.0998963420242944
"1053",0.0998391316243215
"1054",0.09978197692908
"1055",0.0997248981075245
"1056",0.0996678833544138
"1057",0.0996109302977857
"1058",0.0995540372277901
"1059",0.099497219611294
"1060",0.0994404649118223
"1061",0.0993837737987633
"1062",0.0993271578136046
"1063",0.0992705827866303
"1064",0.0992140919624944
"1065",0.0991576543092378
"1066",0.0991012975227932
"1067",0.0990449890941818
"1068",0.098988752828518
"1069",0.0989325778609782
"1070",0.0988764602370793
"1071",0.0988204175773717
"1072",0.0987644251217716
"1073",0.0987085013002797
"1074",0.0986526559863705
"1075",0.0985968490640516
"1076",0.0985411189340084
"1077",0.0984854585531139
"1078",0.0984298562907497
"1079",0.0983743090328062
"1080",0.0983188335067098
"1081",0.0982634143201722
"1082",0.0982080643934751
"1083",0.0981527752101101
"1084",0.0980975436141307
"1085",0.0980423756500386
"1086",0.0979872765565233
"1087",0.0979322256225714
"1088",0.0978772410799138
"1089",0.0978223358051764
"1090",0.0977674708101404
"1091",0.0977126787802263
"1092",0.0976579428697733
"1093",0.0976032622329512
"1094",0.0975486580719007
"1095",0.0974941105178004
"1096",0.0974396134188282
"1097",0.0973851887010824
"1098",0.0973308286756946
"1099",0.097276527181748
"1100",0.0972222735326795
"1101",0.0971680865804956
"1102",0.097113969259226
"1103",0.0970599048177974
"1104",0.0970058962157054
"1105",-0.0279774924838421
"1106",0.0969685884138016
"1107",0.0969147264204366
"1108",0.0968609161918721
"1109",0.0968071772367693
"1110",0.0967534966457606
"1111",0.0966998788480851
"1112",0.0966463192398805
"1113",0.0965928094647097
"1114",-0.153310979247181
"1115",-0.153214894204211
"1116",-0.153118923197326
"1117",-0.153023079528793
"1118",-0.0280065850456594
"1119",-0.0279901096710091
"1120",0.0969564213792182
"1121",-0.152948006874794
"1122",-0.152852560178871
"1123",-0.152757223377193
"1124",-0.152662011218126
"1125",-0.0276458050284418
"1126",-0.1525507741826
"1127",0.0756409126988729
"1128",0.0755750269963755
"1129",0.075509253942073
"1130",0.075443587906193
"1131",0.0753780425384321
"1132",0.0753126100680674
"1133",0.0752472827316524
"1134",0.0751820709538151
"1135",0.0751169925897557
"1136",0.07505199615116
"1137",0.0749871400221309
"1138",0.0749223834118311
"1139",0.0748577292906702
"1140",0.074793205005335
"1141",0.0747287784397486
"1142",0.0746644673381525
"1143",0.0746002693322225
"1144",0.0745361841509293
"1145",0.0744722093859309
"1146",0.0744083300160128
"1147",0.0743445890420844
"1148",0.0742809250077698
"1149",0.0742173735652614
"1150",0.0741539543978433
"1151",0.0740906272367283
"1152",0.0740274118597881
"1153",0.0739643048073049
"1154",0.0739013068814529
"1155",0.0738384147243778
"1156",0.0737756238286238
"1157",0.0737129434273811
"1158",0.0736503763491783
"1159",0.0735879004168964
"1160",0.0735255498384504
